Fecha de extracción: 15/08/2024
Reporte de Stock - Planta Central
Total de unidades: 15

Chasis,Orden,Marca,Modelo,Versión,MY,Color Exterior,Color Interior,Status,Concesionario,Precio Lista,Costo,Bonificación,Catálogo,Número de Motor,ETA
1G1BC5SM8J7123456,ORD2024050,Chevrolet,Cruze,LTZ 1.4 Turbo,2024,Blanco Summit,Negro,Disponible,Central,"35.500.000,00","28.000.000,00","750.000,00",Sedán Premium,L4T123456,15/09/2024
,ORD2024051,Ford,Ecosport,Titanium 2.0,2024,Gris Magnetic,Ebony,En Tránsito,Norte,"32.800.000,00","26.200.000,00","650.000,00",SUV Compacto,,20/09/2024
3FADP4FJ8KM123789,ORD2024052,Ford,Focus,S 1.6,2024,Azul Kinetic,Charcoal,Disponible,Sur,"24.900.000,00","19.900.000,00","400.000,00",Hatchback,,18/09/2024
8AWDD41F3JG123456,SAMIS2024025,Volkswagen,Polo,Trendline 1.6,2024,Plata Reflex,Titán,Reserva,Central,"22.500.000,00","18.500.000,00","350.000,00",Hatchback,CBZ123456,25/09/2024
9BWHE21J8JT123456,OVALO2024030,Volkswagen,T-Cross,Highline 1.0 TSI,2024,Naranja Energetic,Negro,Disponible,Norte,"29.800.000,00","24.300.000,00","580.000,00",SUV,CHZ123456,22/09/2024
JM1DLAN75L0123456,ORD2024053,Mazda,CX-30,i Grand Touring,2024,Rojo Soul Crystal,Negro,Vendido,Central,"38.200.000,00","31.000.000,00","820.000,00",SUV Premium,PE123456,10/09/2024
JF1VAED67M8123456,ORD2024054,Subaru,XV,2.0i Limited,2024,Verde Jasper,Gris,Disponible,Sur,"36.900.000,00","29.800.000,00","780.000,00",SUV,FB20123456,28/09/2024
KNMAT2MV5JP123456,ORD2024055,Hyundai,Tucson,N Line 1.6T,2024,Negro Phantom,Rojo,Demo,Norte,"41.500.000,00","33.500.000,00","900.000,00",SUV Premium,G4FJ123456,05/10/2024
,ORD2024056,Hyundai,Elantra,Limited 2.0,2024,Blanco Polar,Beige,Taller,Central,"31.200.000,00","25.000.000,00","620.000,00",Sedán,Nu123456,
JTDKARFP8J3123456,ORD2024057,Toyota,Corolla Cross,XEI 2.0,2024,Gris Silver,Negro,Disponible,Norte,"33.800.000,00","27.200.000,00","680.000,00",SUV,2ZR123456,30/09/2024
VF7SAHMM0JW123456,ORD2024058,Citroën,C4 Cactus,Shine 1.6,2024,Azul Ink,Mistral,Disponible,Sur,"27.400.000,00","22.100.000,00","540.000,00",SUV,THP123456,12/10/2024
9BD158A2VN0123456,ORD2024059,Fiat,Cronos,Precision 1.8,2024,Rojo Córdoba,Negro,Disponible,Central,"25.600.000,00","20.500.000,00","480.000,00",Sedán,E.torQ123456,08/10/2024
VF1RFB00565123456,OVALO2024035,Renault,Captur,Zen 1.6,2024,Naranja Valencia,Gris,Disponible,Norte,"28.900.000,00","23.200.000,00","570.000,00",SUV,H4M123456,15/10/2024
VF3C5HWZCNS123456,ORD2024060,Peugeot,2008,Allure 1.6,2024,Gris Artense,Negro,Disponible,Sur,"30.100.000,00","24.500.000,00","600.000,00",SUV,THP123456,18/10/2024
JA4ASZ4A1JZ123456,ORD2024061,Mitsubishi,Eclipse Cross,HPE-S 1.5T,2024,Blanco Perla,Gris,Disponible,Central,"39.800.000,00","32.200.000,00","850.000,00",SUV Premium,4B40123456,25/10/2024
